"Ruta";"Exit";"Continue";"With";"Anchas";"Tabuladores"
"src\Forms\inMtoArticulos.pas";"60";"0";"13";"7";"0"
"src\Forms\inMtoAtributosBasicos.pas";"6";"0";"0";"0";"0"
"src\Forms\inMtoAtributosConjuntos.pas";"3";"0";"1";"1";"0"
"src\Forms\inMtoClientes.pas";"3";"0";"1";"1";"0"
"src\Forms\inMtoComprasPlantillas.pas";"2";"0";"0";"0";"0"
"src\Forms\inMtoComprasSesiones.pas";"80";"0";"6";"25";"0"
"src\Forms\inMtoConsultaOpe.pas";"17";"0";"0";"0";"0"
"src\Forms\inMtoDevolucionesCompra.pas";"15";"0";"1";"17";"0"
"src\Forms\inMtoDocumentosTrabajo.pas";"11";"0";"2";"0";"0"
"src\Forms\inMtoEfectosCompra.pas";"0";"0";"0";"2";"0"
"src\Forms\inMtoEfectosVenta.pas";"0";"0";"0";"1";"0"
"src\Forms\inMtoEmpresas.pas";"1";"0";"8";"1";"0"
"src\Forms\inMtoFacturasBase.pas";"22";"0";"48";"0";"0"
"src\Forms\inMtoFacturasCompra.pas";"9";"0";"0";"0";"0"
"src\Forms\inMtoFamilias.pas";"0";"0";"3";"5";"0"
"src\Forms\inMtoFormasdePago.pas";"0";"0";"3";"3";"0"
"src\Forms\inMtoFotoArticulo.pas";"21";"1";"0";"0";"0"
"src\Forms\inMtoGen.pas";"19";"0";"1";"0";"0"
"src\Forms\inMtoGeneradorProcesos.pas";"12";"0";"17";"11";"0"
"src\Forms\inMtoGenSearch.pas";"3";"0";"1";"0";"0"
"src\Forms\inMtoInventarios.pas";"111";"2";"1";"23";"0"
"src\Forms\inMtoPedidos.pas";"7";"0";"2";"3";"0"
"src\Forms\inMtoPedidosCompra.pas";"40";"0";"0";"6";"0"
"src\Forms\inMtoPropiedades.pas";"3";"0";"0";"0";"0"
"src\Forms\inMtoProveedores.pas";"1";"0";"1";"0";"0"
"src\Forms\inMtoRemesasCompra.pas";"0";"0";"0";"2";"0"
"src\Forms\inMtoRemesasVenta.pas";"0";"0";"0";"1";"0"
"src\Forms\inMtoStockConsulta.pas";"18";"0";"0";"54";"0"
"src\Forms\inMtoTarifas.pas";"2";"0";"3";"5";"0"
"src\Forms\inMtoUsuarios.pas";"0";"0";"0";"3";"0"
"src\Lib\backup\Backup.Engine.pas";"4";"0";"0";"0";"0"
