"Ruta";"Sentencias";"Select";"Insert";"Update";"Delete";"Replace";"Call";"Ddl";"Unidad"
"src\Lib\inLibVerifactuNoVerifactuExport.pas";"6";"6";"0";"0";"0";"0";"0";"0";"inLibVerifactuNoVerifactuExport"
"src\Lib\inLibBackupWorker.pas";"6";"1";"0";"0";"0";"0";"0";"5";"inLibBackupWorker"
"src\Lib\inLibDocumentosTrabajo.pas";"6";"4";"2";"0";"0";"0";"0";"0";"inLibDocumentosTrabajo"
"src\Lib\inLibFacturasBorrado.pas";"5";"2";"0";"0";"3";"0";"0";"0";"inLibFacturasBorrado"
"src\Lib\inLibFacturae.pas";"5";"4";"0";"1";"0";"0";"0";"0";"inLibFacturae"
"src\Lib\inLibGridArticulos.pas";"4";"4";"0";"0";"0";"0";"0";"0";"inLibGridArticulos"
"src\Lib\inLibFacturasReapertura.pas";"4";"2";"0";"2";"0";"0";"0";"0";"inLibFacturasReapertura"
"src\Lib\inLibValoresAutomaticos.pas";"4";"4";"0";"0";"0";"0";"0";"0";"inLibValoresAutomaticos"
"src\Lib\inLibGridTallasInline.pas";"4";"2";"1";"0";"1";"0";"0";"0";"inLibGridTallasInline"
"src\Lib\inLibArticulosCodigosBarras.pas";"4";"1";"2";"0";"1";"0";"0";"0";"inLibArticulosCodigosBarras"
"src\Lib\inLibGenerarTicket.pas";"3";"3";"0";"0";"0";"0";"0";"0";"inLibGenerarTicket"
"src\Lib\inLibImpuestosComun.pas";"3";"3";"0";"0";"0";"0";"0";"0";"inLibImpuestosComun"
"src\Lib\inLibGridColumnChooser.pas";"3";"3";"0";"0";"0";"0";"0";"0";"inLibGridColumnChooser"
"src\Lib\inLibFacturasEfectos.pas";"3";"1";"0";"2";"0";"0";"0";"0";"inLibFacturasEfectos"
"src\Lib\inLibData.pas";"3";"3";"0";"0";"0";"0";"0";"0";"inLibData"
"src\Lib\inLibComprasImpuestos.pas";"3";"3";"0";"0";"0";"0";"0";"0";"inLibComprasImpuestos"
"src\Caja\Lib\inLibCajaStock.pas";"3";"3";"0";"0";"0";"0";"0";"0";"inLibCajaStock"
"src\Lib\inLibFacturasMovimientos.pas";"3";"2";"0";"1";"0";"0";"0";"0";"inLibFacturasMovimientos"
"src\Lib\inLibDBStructure.pas";"3";"3";"0";"0";"0";"0";"0";"0";"inLibDBStructure"
