level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	5	0	0	0	0	0	0	2480	3505	-1	
2	5	1	0	0	0	150	112	583	57	-1	
3	5	1	1	0	0	150	112	583	57	-1	
4	5	1	1	1	0	150	112	583	57	-1	
5	5	1	1	1	1	150	113	226	55	91.936516	RED
5	5	1	1	1	2	411	112	322	57	86.470032	POINT
2	5	2	0	0	0	1473	149	111	27	-1	
3	5	2	1	0	0	1473	149	111	27	-1	
4	5	2	1	1	0	1473	149	111	27	-1	
5	5	2	1	1	1	1473	149	111	27	96.843323	004234
2	5	3	0	0	0	1474	199	309	31	-1	
3	5	3	1	0	0	1474	199	309	31	-1	
4	5	3	1	1	0	1474	199	309	31	-1	
5	5	3	1	1	1	1474	199	242	31	92.048019	MONEDEROLID,
5	5	3	1	1	2	1730	199	53	27	90.798218	S.L.
2	5	4	0	0	0	1474	240	502	41	-1	
3	5	4	1	0	0	1474	240	502	41	-1	
4	5	4	1	1	0	1474	240	502	41	-1	
5	5	4	1	1	1	1474	249	95	26	93.075493	PLAZA
5	5	4	1	1	2	1582	249	130	27	92.006126	MARCOS
5	5	4	1	1	3	1726	240	185	35	93.001495	FERNÁNDEZ
5	5	4	1	1	4	1923	248	53	33	92.660812	S/N
2	5	5	0	0	0	1472	299	93	27	-1	
3	5	5	1	0	0	1472	299	93	27	-1	
4	5	5	1	1	0	1472	299	93	27	-1	
5	5	5	1	1	1	1472	299	93	27	96.639442	47014
2	5	6	0	0	0	1796	299	198	27	-1	
3	5	6	1	0	0	1796	299	198	27	-1	
4	5	6	1	1	0	1796	299	198	27	-1	
5	5	6	1	1	1	1796	299	198	27	91.358650	VALLADOLID
2	5	7	0	0	0	1471	353	198	27	-1	
3	5	7	1	0	0	1471	353	198	27	-1	
4	5	7	1	1	0	1471	353	198	27	-1	
5	5	7	1	1	1	1471	353	198	27	91.822449	VALLADOLID
2	5	8	0	0	0	132	393	749	45	-1	
3	5	8	1	0	0	132	393	749	45	-1	
4	5	8	1	1	0	132	393	749	45	-1	
5	5	8	1	1	1	132	393	200	37	92.542732	GUASCH
5	5	8	1	1	2	353	393	220	37	92.595215	FASHION
5	5	8	1	1	3	592	393	188	45	91.944016	GROUP,
5	5	8	1	1	4	798	393	83	37	91.536049	S.L.
2	5	9	0	0	0	1474	400	120	35	-1	
3	5	9	1	0	0	1474	400	120	35	-1	
4	5	9	1	1	0	1474	400	120	35	-1	
5	5	9	1	1	1	1474	400	120	35	93.302704	ESPAÑA
2	5	10	0	0	0	133	524	304	28	-1	
3	5	10	1	0	0	133	524	304	28	-1	
4	5	10	1	1	0	133	524	304	28	-1	
5	5	10	1	1	1	133	524	55	28	96.538940	Red
5	5	10	1	1	2	203	525	75	27	92.541412	Point
5	5	10	1	1	3	289	525	23	27	92.541412	&
5	5	10	1	1	4	323	524	114	28	92.586823	Onades
2	5	11	0	0	0	132	574	301	33	-1	
3	5	11	1	0	0	132	574	301	33	-1	
4	5	11	1	1	0	132	574	301	33	-1	
5	5	11	1	1	1	132	575	69	27	93.297081	Ctra.
5	5	11	1	1	2	216	574	99	28	92.693199	Caldes
5	5	11	1	1	3	328	575	45	26	96.021034	Km
5	5	11	1	1	4	387	575	46	32	96.021034	0,2
2	5	12	0	0	0	135	624	378	34	-1	
3	5	12	1	0	0	135	624	378	34	-1	
4	5	12	1	1	0	135	624	378	34	-1	
5	5	12	1	1	1	135	625	89	27	93.298111	17240
5	5	12	1	1	2	239	624	163	34	92.879005	Llagostera,
5	5	12	1	1	3	416	625	97	27	96.938377	Girona
2	5	13	0	0	0	131	675	324	27	-1	
3	5	13	1	0	0	131	675	324	27	-1	
4	5	13	1	1	0	131	675	324	27	-1	
5	5	13	1	1	1	131	675	90	26	89.276688	V.A.T.
5	5	13	1	1	2	237	675	36	27	93.268654	ES
5	5	13	1	1	3	287	675	168	27	91.976364	B64584857
2	5	14	0	0	0	115	728	202	25	-1	
3	5	14	1	0	0	115	728	202	25	-1	
4	5	14	1	1	0	115	728	202	25	-1	
5	5	14	1	1	1	115	728	38	24	94.803650	N°
5	5	14	1	1	2	164	728	37	25	93.287727	de
5	5	14	1	1	3	212	728	105	25	92.302032	Pedido
2	5	15	0	0	0	499	728	88	25	-1	
3	5	15	1	0	0	499	728	88	25	-1	
4	5	15	1	1	0	499	728	88	25	-1	
5	5	15	1	1	1	499	728	88	25	96.537361	Fecha
2	5	16	0	0	0	1068	728	127	25	-1	
3	5	16	1	0	0	1068	728	127	25	-1	
4	5	16	1	1	0	1068	728	127	25	-1	
5	5	16	1	1	1	1068	729	23	23	92.521027	F.
5	5	16	1	1	2	1103	728	92	25	92.830559	Servir
2	5	17	0	0	0	1704	728	275	25	-1	
3	5	17	1	0	0	1704	728	275	25	-1	
4	5	17	1	1	0	1704	728	275	25	-1	
5	5	17	1	1	1	1704	728	104	25	93.224190	Pedido
5	5	17	1	1	2	1818	728	45	25	96.177879	del
5	5	17	1	1	3	1875	728	104	25	96.468857	cliente
2	5	18	0	0	0	2137	728	54	25	-1	
3	5	18	1	0	0	2137	728	54	25	-1	
4	5	18	1	1	0	2137	728	54	25	-1	
5	5	18	1	1	1	2137	728	54	25	93.228348	Ctrl
2	5	19	0	0	0	2287	727	64	32	-1	
3	5	19	1	0	0	2287	727	64	32	-1	
4	5	19	1	1	0	2287	727	64	32	-1	
5	5	19	1	1	1	2287	727	64	32	96.891579	Pag.
2	5	20	0	0	0	283	806	86	27	-1	
3	5	20	1	0	0	283	806	86	27	-1	
4	5	20	1	1	0	283	806	86	27	-1	
5	5	20	1	1	1	283	806	86	27	96.769516	8167
2	5	21	0	0	0	455	805	175	33	-1	
3	5	21	1	0	0	455	805	175	33	-1	
4	5	21	1	1	0	455	805	175	33	-1	
5	5	21	1	1	1	455	805	175	33	96.709564	29/07/2026
2	5	22	0	0	0	1043	805	175	33	-1	
3	5	22	1	0	0	1043	805	175	33	-1	
4	5	22	1	1	0	1043	805	175	33	-1	
5	5	22	1	1	1	1043	805	175	33	96.424614	01/02/2027
2	5	23	0	0	0	2168	805	35	27	-1	
3	5	23	1	0	0	2168	805	35	27	-1	
4	5	23	1	1	0	2168	805	35	27	-1	
5	5	23	1	1	1	2168	805	35	27	96.881889	50
2	5	24	0	0	0	2354	805	18	27	-1	
3	5	24	1	0	0	2354	805	18	27	-1	
4	5	24	1	1	0	2354	805	18	27	-1	
5	5	24	1	1	1	2354	805	18	27	96.817947	5
2	5	25	0	0	0	1034	878	117	26	-1	
3	5	25	1	0	0	1034	878	117	26	-1	
4	5	25	1	1	0	1034	878	117	26	-1	
5	5	25	1	1	1	1034	878	117	26	92.911705	Sección
2	5	26	0	0	0	1335	874	131	25	-1	
3	5	26	1	0	0	1335	874	131	25	-1	
4	5	26	1	1	0	1335	874	131	25	-1	
5	5	26	1	1	1	1335	874	131	25	92.486832	Sucursal
2	5	27	0	0	0	1673	883	158	25	-1	
3	5	27	1	0	0	1673	883	158	25	-1	
4	5	27	1	1	0	1673	883	158	25	-1	
