level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	4	0	0	0	0	0	0	2480	3505	-1	
2	4	1	0	0	0	150	112	1434	64	-1	
3	4	1	1	0	0	150	112	1434	64	-1	
4	4	1	1	1	0	150	112	1434	64	-1	
5	4	1	1	1	1	150	113	226	55	96.238380	RED
5	4	1	1	1	2	411	112	322	57	95.982315	POINT
5	4	1	1	1	3	1473	149	111	27	95.843651	004234
2	4	2	0	0	0	1474	199	502	82	-1	
3	4	2	1	0	0	1474	199	502	82	-1	
4	4	2	1	1	0	1474	199	309	31	-1	
5	4	2	1	1	1	1474	199	242	31	91.671410	MONEDEROLID,
5	4	2	1	1	2	1730	199	53	27	92.229118	S.L.
4	4	2	1	2	0	1474	240	502	41	-1	
5	4	2	1	2	1	1474	249	95	26	96.704811	PLAZA
5	4	2	1	2	2	1582	249	130	27	96.820747	MARCOS
5	4	2	1	2	3	1726	240	185	35	96.022476	FERNANDEZ
5	4	2	1	2	4	1923	248	53	33	96.964607	S/N
2	4	3	0	0	0	88	66	718	246	-1	
3	4	3	1	0	0	88	66	718	246	-1	
4	4	3	1	1	0	88	66	718	246	-1	
5	4	3	1	1	1	88	66	718	246	95.000000	 
2	4	4	0	0	0	1422	134	12	304	-1	
3	4	4	1	0	0	1422	134	12	304	-1	
4	4	4	1	1	0	1422	134	12	304	-1	
5	4	4	1	1	1	1422	134	12	304	95.000000	 
2	4	5	0	0	0	101	771	271	8	-1	
3	4	5	1	0	0	101	771	271	8	-1	
4	4	5	1	1	0	101	771	271	8	-1	
5	4	5	1	1	1	101	771	271	8	95.000000	 
2	4	6	0	0	0	115	299	2257	619	-1	
3	4	6	1	0	0	115	299	2257	619	-1	
4	4	6	1	1	0	1472	299	522	27	-1	
5	4	6	1	1	1	1472	299	93	27	96.892517	47014
5	4	6	1	1	2	1796	299	198	27	92.215393	VALLADOLID
4	4	6	1	2	0	1471	353	198	27	-1	
5	4	6	1	2	1	1471	353	198	27	92.080582	VALLADOLID
4	4	6	1	3	0	132	393	1462	45	-1	
5	4	6	1	3	1	132	393	200	37	92.082001	GUASCH
5	4	6	1	3	2	353	393	220	37	96.292229	FASHION
5	4	6	1	3	3	592	393	188	45	93.050072	GROUP,
5	4	6	1	3	4	798	393	83	37	90.505096	S.L.
5	4	6	1	3	5	1474	400	120	35	96.238686	ESPANA
4	4	6	1	4	0	133	524	304	28	-1	
5	4	6	1	4	1	133	524	55	28	96.207138	Red
5	4	6	1	4	2	203	525	75	27	92.945038	Point
5	4	6	1	4	3	289	525	23	27	92.489624	&
5	4	6	1	4	4	323	524	114	28	92.322861	Onades
