OldName;NewName
NUM_COD_DIGIT_FORMAP;NUM_COD_DIGIT_FORMA_PAGO_CFP
ORDEN_VISUAL_FORMAP;ORDEN_VISUAL_FORMA_PAGO_CFP
CODIGO_EMPRESA_OPCAJA;CODIGO_EMP_OPCAJA
CODIGO_ALMACEN_OPCAJA;CODIGO_ALM_OPCAJA
NRO_FACTURA_OPCAJA;NUMERO_FAC_OPCAJA
SERIE_FACTURA_OPCAJA;SERIE_FAC_OPCAJA
CODIGO_CLIENTE_OPCAJA;CODIGO_CLI_OPCAJA
CODIGO_EMPRESA_CONTRA_OPCAJA;CODIGO_EMP_CONTRA_OPCAJA
CODIGO_ALMACEN_CONTRA_OPCAJA;CODIGO_ALM_CONTRA_OPCAJA
ES_TRASPASO_OPCAJA;ESTRASPASO_OPCAJA
FECHA_OP_DIA;FECHA_OP_DIA_OPCAJA
CODIGO_EMPRESA_PAGO;CODIGO_EMP_PAGO
CODIGO_ALMACEN_PAGO;CODIGO_ALM_PAGO
RED_BLOCKCHAIN;RED_BLOCKCHAIN_PAGO
CODIGO_EMPRESA_EMI_VL;CODIGO_EMP_EMI_VL
CODIGO_ALMACEN_EMI_VL;CODIGO_ALM_EMI_VL
SERIE_FACTURA_EMI_VL;SERIE_FAC_EMI_VL
NRO_FACTURA_EMI_VL;NUMERO_FAC_EMI_VL
CODIGO_EMPRESA_RED_VL;CODIGO_EMP_RED_VL
CODIGO_ALMACEN_RED_VL;CODIGO_ALM_RED_VL
SERIE_FACTURA_RED_VL;SERIE_FAC_RED_VL
NRO_FACTURA_RED_VL;NUMERO_FAC_RED_VL
CODIGO_CLIENTE_VL;CODIGO_CLI_VL
CODIGO_CLIENTE;CODIGO_CLI
ACTIVO_CLIENTE;ESACTIVO_CLI
ORDEN_CLIENTE;ORDEN_CLI
RAZONSOCIAL_CLIENTE;RAZON_SOCIAL_CLI
NIF_CLIENTE;NIF_CLI
MOVIL_CLIENTE;MOVIL_CLI
EMAIL_CLIENTE;EMAIL_CLI
POBLACION_CLIENTE;POBLACION_CLI
PROVINCIA_CLIENTE;PROVINCIA_CLI
CPOSTAL_CLIENTE;CODIGO_POSTAL_CLI
CODIGO_PAIS_CLIENTE;CODIGO_PAI_CLI
NOMBRE_PAIS_CLIENTE;NOMBRE_PAI_CLI
OBSERVACIONES_CLIENTE;OBSERVACIONES_CLI
REFERENCIA_CLIENTE;REFERENCIA_CLI
CONTACTO_CLIENTE;CONTACTO_CLI
TELEFONO_CONTACTO_CLIENTE;TELEFONO_CONTACTO_CLI
TELEFONO_CLIENTE;TELEFONO_CLI
IBAN_CLIENTE;IBAN_CLI
ESIVA_RECARGO_CLIENTE;ESIVA_RECARGO_CLI
ESRETENCIONES_CLIENTE;ESRETENCIONES_CLI
TOTAL_LIMITE_CREDITO_CLIENTE;TOTAL_LIMITE_CREDITO_CLI
ESPERMITE_DEUDA_CLIENTE;ESPERMITE_DEUDA_CLI
TOTAL_DEUDA_CLIENTE;TOTAL_DEUDA_CLI
ESIVA_EXENTO_CLIENTE;ESIVA_EXENTO_CLI
ESINTRACOMUNITARIO_CLIENTE;ESINTRACOMUNITARIO_CLI
ESREGIMENESPECIALAGRICOLA_CLIENTE;ESREGIMENESPECIALAGRICOLA_CLI
CODIGO_FORMA_PAGO_CLIENTE;CODIGO_FP_CLI
TARIFA_ARTICULO_CLIENTE;TARIFA_ARTICULO_CLI
SERIE_CONTADOR_CLIENTE;SERIE_CON_CLI
TEXTO_LEGAL_FACTURA_CLIENTE;TEXTO_LEGAL_FACTURA_CLI
CAMPO_OBJETIVO_CC;OBJETIVO_CC
TIPODOC_CONTADOR;TIPO_DOC_CON
EMPRESA_CONTADOR;EMPRESA_CON
SERIE_CONTADOR;SERIE_CON
CONTADOR_CONTADOR;CON
NUMDIGIT_CONTADOR;NUM_DIGITOS_CON
ACTIVO_CONTADOR;ESACTIVO_CON
DEFAULT_CONTADOR;DEFAULT_CON
CODIGO_EMPRESA_DEP;CODIGO_EMP_DEP
CODIGO_CLIENTE_DEP;CODIGO_CLI_DEP
CODIGO_ARTICULO_DEP;CODIGO_ART_DEP
CODIGO_ALMACEN_DEP;CODIGO_ALM_DEP
PORCEN_IVA_DEP;PORCENTAJE_IVA_DEP
CODIGO_EMPRESA;CODIGO_EMP
ORDEN_EMPRESA;ORDEN_EMP
ACTIVO_EMPRESA;ESACTIVO_EMP
RAZONSOCIAL_EMPRESA;RAZON_SOCIAL_EMP
NIF_EMPRESA;NIF_EMP
MOVIL_EMPRESA;MOVIL_EMP
EMAIL_EMPRESA;EMAIL_EMP
CPOSTAL_EMPRESA;CODIGO_POSTAL_EMP
POBLACION_EMPRESA;POBLACION_EMP
PROVINCIA_EMPRESA;PROVINCIA_EMP
