46;22913
44;22663
48;22161
50;18959
42;18549
52;15960
M;15799
L;14932
XL;13764
40;13436
54;11184
XXL;8090
56;7696
S;7330
38;6890
58;4540
5;3324
UNI;3225
6;3143
4;3089
60;2517
3;2373
36;1711
3XL;1703
G;1560
7;1534
32;1169
SG;1106
8;1068
41;1053
43;1041
33;1023
34;1018
39;961
30;884
XS;861
62;810
31;799
XG;565
P;548
29;524
9;520
28;518
2;455
64;387
45;323
4XL;294
XXG;248
10;224
27;198
