1;2012-09-01 00:00:00;21;5,2;Normal
1;2010-07-31 00:00:00;18;4;Normal
1;1900-01-01 00:00:00;16;4;Normal
2;2010-07-31 00:00:00;18;4;Normal
4;1900-01-01 00:00:00;0;0;Exento
