18;PRIM-VER 2010;2010-01-01 00:00:00;2010-08-31 00:00:00;N;PRIM-VER10;N;N;N;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;2010-08-06 18:26:09.000;NULL;1;1;2010-01-01 00:00:00;2009-07-11 00:00:00;0;;NULL;2010-01-01 00:00:00;2010-08-31 00:00:00
19;OTÑ-INVIER2010;2010-09-01 00:00:00;2010-12-31 00:00:00;N;OTÑO-INV10;N;N;N;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;2011-03-07 21:12:38.000;NULL;1;1;2010-09-01 00:00:00;2010-01-19 00:00:00;0;;NULL;2010-09-01 00:00:00;2010-12-31 00:00:00
2;PRIM-VER 2002;2002-01-01 00:00:00;2002-08-31 00:00:00;N;PRIM-VER 2;N;N;N;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;2008-07-18 21:08:29.000;2006-05-02 13:57:26.000;1;1;2002-08-31 00:00:00;2015-07-01 00:00:00;NULL;NULL;NULL;NULL;NULL
20;PRIM-VER 2011;2010-01-01 00:00:00;2010-08-31 00:00:00;N;PRIM-VER 2;N;N;N;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;2011-09-06 09:57:43.000;NULL;1;1;2011-09-01 00:00:00;2010-07-21 00:00:00;0;;NULL;2011-09-01 00:00:00;2010-08-31 00:00:00
21;OTÑO-INVI 2011;2011-01-01 00:00:00;2011-09-01 00:00:00;N;OTÑO-INVI1;N;N;N;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;2012-03-16 21:09:38.000;NULL;1;1;2020-02-01 00:00:00;2010-12-20 00:00:00;0;;NULL;2011-08-01 00:00:00;2011-09-01 00:00:00
22;PRIM-VER 2012;2012-01-01 00:00:00;2012-08-31 00:00:00;N;PRIM-VER12;N;N;N;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;2012-09-13 12:00:44.000;NULL;1;1;2012-01-01 00:00:00;2011-07-06 00:00:00;0;;NULL;2012-01-01 00:00:00;2012-08-31 00:00:00
23;OTÑO-INVI 2012;2012-09-01 00:00:00;2012-12-31 00:00:00;N;OTÑO-INV12;N;N;N;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;2013-04-15 20:11:34.000;NULL;1;1;2010-09-01 00:00:00;2012-01-23 00:00:00;0;;NULL;2010-09-01 00:00:00;2012-12-31 00:00:00
24;PRIM-VER 2013;2013-01-01 00:00:00;2013-12-31 00:00:00;N;PRIM-VER13;N;N;N;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;2013-10-07 19:22:33.000;NULL;1;1;2013-01-01 00:00:00;2012-06-07 00:00:00;0;;NULL;2013-01-01 00:00:00;2012-12-31 00:00:00
25;OTÑO-INVI2013;2013-09-01 00:00:00;2013-12-31 00:00:00;N;OTÑO-IN-13;N;N;N;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;2014-09-15 18:59:58.000;NULL;1;1;2013-09-01 00:00:00;2013-01-17 00:00:00;0;;NULL;2013-09-01 00:00:00;2013-12-31 00:00:00
26;PRIM-VER 2014;2014-01-01 00:00:00;2014-08-31 00:00:00;N;PRIM-VER14;N;N;N;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;1900-01-01 00:00:00;2014-09-15 18:59:49.000;NULL;1;1;2014-01-01 00:00:00;2013-06-24 00:00:00;0;;NULL;2014-01-01 00:00:00;2014-08-31 00:00:00
